2016,2017,2018,2019,2020,2021,2022
0.18772410883779794,0.16335433834222007,0.1846514745308311,0.1764512955067235,0.15652577798420808,0.14767392232180965,0.14875883312194238
0.22674541236026155,0.2506059137178866,0.21816353887399464,0.2226959658904559,0.22851834649326522,0.19696969696969696,0.22105453886573653
0.19616114743724952,0.17256422685409598,0.18666219839142092,0.18596261069203018,0.18810961449140734,0.20614596670934698,0.2076463127378148
0.14764817549040288,0.1546291808046534,0.15214477211796246,0.16890783863561823,0.16326056665118438,0.17008109261630389,0.16343540496466752
0.10672853828306264,0.10761027629665536,0.10489276139410188,0.09773696293866842,0.10589874593590339,0.11737089201877934,0.10635984779851422
0.05884834423117486,0.07513330101793504,0.07238605898123325,0.06723515906854706,0.07152810032512773,0.07255655142979087,0.06994020655915927
0.036701117907614426,0.04265632573921473,0.042560321715817695,0.0409970482125287,0.04458894565722248,0.050789586000853607,0.04457329226309114
0.02425648597342333,0.02035870092098885,0.027479892761394103,0.026238110856018366,0.024616813748258245,0.02283397353819889,0.025004529806124297
0.01054629824931449,0.008240426563257392,0.00871313672922252,0.010495244342407346,0.012308406874129122,0.010670081092616303,0.009603188983511505
0.003374815439780637,0.0019389238972370335,0.001675603217158177,0.0029517874713020664,0.003251277287505806,0.002987622705932565,0.002536691429606813
0.001054629824931449,0.0019389238972370335,0.0006702412868632708,0.00032797638570022957,0.0009289363678588017,0.0012804097311139564,0.0007247689798876608
0.0002109259649862898,0.0,0.0,0.0,0.00023223409196470042,0.0002134016218523261,0.0003623844899438304
0.0,0.0009694619486185168,0.0,0.0,0.00023223409196470042,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0004268032437046522,0.0
