Year,FIPSST,Medi_or_Behav_Treat%,Medi_Treat%,Behav_Treat%,Medi&Behav_Treat%
2016,1,85.14851485148515,77.22772277227723,37.62376237623762,29.7029702970297
2016,2,71.42857142857143,53.57142857142857,50.0,32.142857142857146
2016,4,76.25,57.49999999999999,53.75,35.0
2016,5,74.50980392156863,60.78431372549019,47.05882352941176,33.33333333333333
2016,6,60.0,35.0,51.66666666666667,26.666666666666668
2016,8,63.41463414634146,48.78048780487805,35.36585365853659,20.73170731707317
2016,9,74.77477477477478,55.85585585585585,44.14414414414414,25.225225225225223
2016,10,80.9090909090909,68.18181818181817,41.81818181818181,29.09090909090909
2016,11,78.78787878787878,51.515151515151516,62.121212121212125,34.84848484848485
2016,12,70.78651685393258,53.93258426966292,42.69662921348314,25.842696629213485
2016,13,72.15189873417721,64.55696202531645,35.44303797468354,27.848101265822784
2016,15,77.77777777777779,55.55555555555556,44.44444444444444,22.22222222222222
2016,16,63.44086021505376,49.46236559139785,41.935483870967744,27.956989247311824
2016,17,77.89473684210526,64.21052631578948,44.21052631578947,30.526315789473685
2016,18,76.36363636363637,62.727272727272734,38.18181818181819,24.545454545454547
2016,19,67.03296703296702,59.34065934065934,41.75824175824176,34.065934065934066
2016,20,71.875,60.416666666666664,40.625,29.166666666666668
2016,21,80.0,67.77777777777779,51.11111111111111,38.88888888888889
2016,22,70.47619047619048,59.04761904761905,32.38095238095238,20.952380952380953
2016,23,75.45454545454545,57.27272727272727,50.90909090909091,32.72727272727273
2016,24,76.14678899082568,58.71559633027523,47.706422018348626,30.275229357798167
2016,25,76.47058823529412,60.50420168067227,44.537815126050425,28.57142857142857
2016,26,80.0,68.8,45.6,34.4
2016,27,71.02803738317756,58.87850467289719,34.57943925233645,22.429906542056074
2016,28,74.48979591836735,71.42857142857143,37.755102040816325,34.69387755102041
2016,29,77.88461538461539,66.34615384615384,43.269230769230774,31.73076923076923
2016,30,67.6056338028169,49.29577464788733,45.07042253521127,26.76056338028169
2016,31,80.28169014084507,73.23943661971832,45.07042253521127,38.028169014084504
2016,32,65.0,50.0,45.0,30.0
2016,33,70.87378640776699,54.36893203883495,44.66019417475729,28.155339805825243
2016,34,60.97560975609756,40.243902439024396,36.58536585365854,15.853658536585366
2016,35,64.38356164383562,54.794520547945204,45.20547945205479,35.61643835616438
2016,36,78.26086956521739,63.76811594202898,46.3768115942029,31.88405797101449
2016,37,78.37837837837837,69.36936936936937,39.63963963963964,30.630630630630627
2016,38,82.29166666666666,69.79166666666666,51.041666666666664,38.54166666666667
2016,39,71.05263157894737,55.26315789473685,37.719298245614034,21.929824561403507
2016,40,80.24691358024691,75.30864197530865,46.913580246913575,41.9753086419753
2016,41,76.05633802816901,60.56338028169014,53.52112676056338,38.028169014084504
2016,42,72.15189873417721,53.16455696202531,41.77215189873418,22.78481012658228
2016,44,73.19587628865979,58.76288659793815,42.2680412371134,27.835051546391753
2016,45,69.53125,64.0625,35.15625,29.6875
2016,46,65.95744680851064,56.38297872340425,34.04255319148936,24.46808510638298
2016,47,75.55555555555556,65.55555555555556,42.22222222222222,32.22222222222222
2016,48,66.66666666666666,56.666666666666664,27.77777777777778,17.77777777777778
2016,49,60.747663551401864,48.598130841121495,40.18691588785047,28.037383177570092
2016,50,68.42105263157895,57.89473684210527,35.526315789473685,25.0
2016,51,81.35593220338984,65.2542372881356,49.152542372881356,33.05084745762712
2016,53,72.16494845360825,52.57731958762887,46.391752577319586,26.804123711340207
2016,54,69.56521739130434,60.86956521739131,41.30434782608695,32.608695652173914
2016,55,76.28865979381443,68.04123711340206,43.29896907216495,35.051546391752574
2016,56,61.25000000000001,50.0,45.0,33.75
2017,1,77.58620689655173,67.24137931034483,44.827586206896555,34.48275862068966
2017,2,75.75757575757575,54.54545454545454,51.515151515151516,30.303030303030305
2017,4,65.51724137931035,62.06896551724138,34.48275862068966,31.03448275862069
2017,5,71.42857142857143,65.3061224489796,40.816326530612244,34.69387755102041
2017,6,60.0,56.00000000000001,40.0,36.0
2017,8,64.70588235294117,52.94117647058824,44.11764705882353,32.35294117647059
2017,9,71.05263157894737,52.63157894736842,47.368421052631575,28.947368421052634
2017,10,75.0,67.5,40.0,32.5
2017,11,65.625,40.625,59.375,34.375
2017,12,82.05128205128204,69.23076923076923,53.84615384615385,41.02564102564102
2017,13,70.58823529411765,62.745098039215684,33.33333333333333,25.49019607843137
2017,15,66.66666666666666,51.85185185185185,40.74074074074074,25.925925925925924
2017,16,72.41379310344827,55.172413793103445,51.724137931034484,34.48275862068966
2017,17,62.06896551724138,58.620689655172406,31.03448275862069,27.586206896551722
2017,18,70.45454545454545,59.09090909090909,34.090909090909086,22.727272727272727
2017,19,75.0,61.111111111111114,47.22222222222222,33.33333333333333
2017,20,67.3913043478261,60.86956521739131,26.08695652173913,19.565217391304348
2017,21,79.54545454545455,70.45454545454545,40.909090909090914,31.818181818181817
2017,22,80.0,73.84615384615385,36.92307692307693,30.76923076923077
2017,23,71.69811320754717,54.71698113207547,41.509433962264154,24.528301886792452
2017,24,81.13207547169812,66.0377358490566,47.16981132075472,32.075471698113205
