Disease,Prevalence,2016,2017,2018,2019,2020,2021,2022
Learning_Disability,6.934458014065664,6.466581693619055,6.847539237927681,6.875204716672126,7.141643733224612,7.302989924492135,6.7653069244675,7.191837790880358
ADHD,9.783005301453072,9.44196606388911,9.551368118894393,9.773992793973141,10.359120714843883,10.066157047011243,9.207734024994105,10.200913073212206
Depression,5.149778569537751,4.419262327730423,4.574285846566971,5.116279069767442,5.446267794652261,5.414124412651659,5.118682700620923,5.735356634567399
Anxiety,10.777117182860781,8.963992671074642,9.48655030325478,10.612512283000328,11.73172969116298,11.686186502092246,10.614634913149414,11.982699665452932
Behavior_Problems,8.166813333047156,8.07974189436788,8.435575721098198,8.001965280052408,8.310399891278497,8.432101362881921,8.089680106893029,8.018039665083267
Autism,2.9605145485894986,2.4974109774555884,2.805685448400389,2.7317392728463807,2.9490707709034076,2.964209738878369,3.0220859860095888,3.5266066576714787
Developmental_Delay,7.07325449121075,6.335139010595077,6.930876429464328,6.8260727153619385,7.15523392110896,7.174416158215864,7.358720427572113,7.561503058980093
Speech_Disorder,8.22512216236326,7.3129929100613404,7.764248344830779,7.9397314117261715,8.473482145890667,7.854688267059401,8.724357462862532,9.10485555329649
Tourette_Syndrome,0.2697230509468925,0.2549191428343822,0.2916801703782583,0.2391090730429086,0.28199639860021064,0.24312130350421954,0.29277686080326965,0.28464225643679647
Asthma,11.155945711975846,12.437265992193101,11.894069169868976,12.404192597445137,12.11225495192471,11.351894709773944,9.473001650554115,9.875607637284439
Epilepsy,1.0363231811580205,1.0575161316020074,1.0880133339506457,1.0350474942679333,1.1143954065164952,1.0823573415620544,0.9097697084021065,1.0369110770197585
Deafness,1.1672497549598277,1.1809925914124113,1.097273021899162,1.208647232230593,1.2910678490130125,1.2670360240316056,1.1082291912284838,1.068332624808236
Intellectual_Disability,1.0484857590521774,0.977853899466263,1.1944997453585813,0.9629872256796593,1.0192640913260627,1.0987212754517615,1.0414210484948518,1.0868158882132228
Cerebral_Palsy,0.3051376159916436,0.3246235959531586,0.3657576739663873,0.3340976089092696,0.3193694152821663,0.2968885148561143,0.28295213393067675,0.26615899303180973
